id;building_id;item_id;summ;type
186;186;1;2900;мес€ц
187;187;1;2900;мес€ц
188;188;1;3595;мес€ц
189;189;1;4250;мес€ц
190;190;1;2250;мес€ц
191;191;1;2613.5;мес€ц
192;192;1;2521;мес€ц
193;193;1;2641;мес€ц
194;194;1;9165;мес€ц
195;195;1;4010;мес€ц
196;196;1;4035;мес€ц
197;197;1;6210;мес€ц
198;198;1;3655;мес€ц
199;199;1;2920;мес€ц
200;200;1;15250;мес€ц
201;201;1;10010;мес€ц
202;202;1;13865;мес€ц
203;203;1;3670;мес€ц
204;204;1;11740;мес€ц
205;205;1;4760;мес€ц
206;206;1;4695;мес€ц
207;207;1;7725;мес€ц
208;208;1;4135;мес€ц
209;209;1;4080;мес€ц
210;210;1;3890;мес€ц
211;211;1;4795;мес€ц
212;212;1;3960;мес€ц
213;213;1;3900;мес€ц
214;214;1;4055;мес€ц
215;215;1;3351;мес€ц
216;216;1;5435;мес€ц
217;217;1;3980;мес€ц
218;218;1;3776.5;мес€ц
219;219;1;4160;мес€ц
220;220;1;4835;мес€ц
221;221;1;2500;мес€ц
222;222;1;4830;мес€ц
223;223;1;545;мес€ц
224;224;1;2515;мес€ц
225;225;1;8630;мес€ц
226;226;1;2535;мес€ц
227;227;1;7950;мес€ц
228;228;1;3050;мес€ц
229;229;1;3035;мес€ц
230;230;1;460;мес€ц
231;231;1;4285;мес€ц
232;232;1;2590;мес€ц
233;233;1;4615;мес€ц
234;234;1;4755;мес€ц
235;235;1;2460;мес€ц
236;236;1;2230;мес€ц
237;237;1;2395;мес€ц
238;238;1;7920;мес€ц
239;239;1;2735;мес€ц
240;240;1;3035;мес€ц
241;241;1;2735;мес€ц
242;242;1;2765;мес€ц
243;243;1;2560;мес€ц
244;244;1;5835;мес€ц
245;245;1;7330;мес€ц
246;246;1;7290;мес€ц
247;247;1;2630;мес€ц
248;248;1;7285;мес€ц
249;249;1;2935;мес€ц
250;250;1;15665;мес€ц
251;251;1;11175;мес€ц
252;252;1;9490;мес€ц
253;253;1;1380;мес€ц
254;254;1;1945;мес€ц
255;255;1;1945;мес€ц
256;256;1;1945;мес€ц
257;257;1;1770;мес€ц
258;258;1;1770;мес€ц
259;259;1;1845;мес€ц
260;260;1;1900;мес€ц
261;261;1;1835;мес€ц
262;262;1;1715;мес€ц
263;263;1;1770;мес€ц
264;264;1;1810;мес€ц
265;265;1;2035;мес€ц
266;266;1;1830;мес€ц
267;267;1;2100;мес€ц
268;268;1;1825;мес€ц
269;269;1;1785;мес€ц
270;270;1;3950;мес€ц
271;271;1;3155;мес€ц
272;272;1;6138.5;мес€ц
273;273;1;29345.5;мес€ц
274;274;1;1800;мес€ц
275;275;1;1920;мес€ц
276;276;1;10882.5;мес€ц
277;277;1;7893;мес€ц
278;278;1;7900;мес€ц
279;279;1;3830;мес€ц
280;280;1;13115;мес€ц
281;281;1;4940;мес€ц
282;282;1;4615;мес€ц
283;283;1;8010;мес€ц
284;284;1;2485;мес€ц
285;285;1;2405;мес€ц
286;286;1;2245;мес€ц
287;287;1;4650;мес€ц
288;288;1;6095;мес€ц
289;289;1;6200;мес€ц
290;290;1;4010;мес€ц
291;291;1;6255;мес€ц
292;292;1;3100;мес€ц
293;293;1;10007.5;мес€ц
294;294;1;9951;мес€ц
295;1;2;99456;мес€ц
296;2;2;44668;мес€ц
297;3;2;30111;мес€ц
298;4;2;89892;мес€ц
299;5;2;30275;мес€ц
300;6;2;109393;мес€ц
301;7;2;46934;мес€ц
302;8;2;115666;мес€ц
303;9;2;48844;мес€ц
304;10;2;31414;мес€ц
305;11;2;54102.8;мес€ц
306;12;2;31946;мес€ц
307;13;2;108085;мес€ц
308;14;2;111088;мес€ц
309;15;2;56217.3;мес€ц
310;16;2;61063;мес€ц
311;17;2;30482;мес€ц
312;18;2;30909;мес€ц
313;19;2;121500;мес€ц
314;20;2;91816;мес€ц
315;21;2;92572;мес€ц
316;22;2;96171.7;мес€ц
317;23;2;43092;мес€ц
318;24;2;35814;мес€ц
319;25;2;36787;мес€ц
320;26;2;29440.3;мес€ц
321;27;2;20171;мес€ц
322;28;2;36584;мес€ц
323;29;2;18040;мес€ц
324;30;2;15816;мес€ц
325;31;2;24007;мес€ц
326;32;2;12173.2;мес€ц
327;33;2;22216;мес€ц
328;34;2;23730;мес€ц
329;35;2;17757;мес€ц
330;36;2;33890;мес€ц
331;37;2;16913;мес€ц
332;38;2;23445.6;мес€ц
333;39;2;24314;мес€ц
334;40;2;23879;мес€ц
335;41;2;24702;мес€ц
336;42;2;25215;мес€ц
337;43;2;45571.7;мес€ц
338;44;2;25643;мес€ц
339;45;2;21466;мес€ц
340;46;2;24335;мес€ц
